,title,release_date,colored,genre,language,country,rating,lead_actor,director_name,lead_actor_fb_likes,cast_fb_likes,director_fb_likes,movie_fb_likes,imdb_score,total_reviews,duration,revenue_eur,budget_eur
0,Over the Hill to the Poorhouse,1920-09-15,False,Crime,English,United States of America,Unrated,Stephen Carr,Harry F. Millarde,2.0,4,0,0,4.8,1.0,110.0,2460428.1144919214,82014.27048306404
1,Metropolis,1927-01-26,False,Drama,German,Germany,Unrated,Brigitte Helm,Fritz Lang,136.0,203,756,12000,8.3,260.0,145.0,26435.0,6000000.0
2,The Broadway Melody,1929-11-11,False,Musical,English,United States of America,Approved,Anita Page,Harry Beaumont,77.0,109,4,167,6.3,36.0,100.0,2302960.7151644384,310834.0851308127
3,42nd Street,1933-08-29,False,Comedy,English,United States of America,Unrated,Ginger Rogers,Lloyd Bacon,610.0,995,24,439,7.7,65.0,89.0,1886328.221110473,360042.64742065116
4,Top Hat,1935-04-15,False,Comedy,English,United States of America,Approved,Ginger Rogers,Mark Sandrich,610.0,824,10,1000,7.8,66.0,81.0,2460428.1144919214,499466.90724186006
5,Modern Times,1936-07-10,False,Comedy,English,United States of America,G,Paulette Goddard,Charles Chaplin,309.0,352,0,0,8.6,120.0,87.0,133884.1958500779,1230214.0572459607
6,Snow White and the Seven Dwarfs,1937-02-02,True,Animation,English,United States of America,Approved,Adriana Caselotti,William Cottrell,82.0,229,0,0,7.7,145.0,83.0,151665287.46001804,1640285.409661281
7,Gone with the Wind,1939-12-11,True,Drama,English,United States of America,G,Hattie McDaniel,Victor Fleming,503.0,1862,149,16000,8.2,157.0,226.0,162925677.02780282,3261707.537111457
8,The Wizard of Oz,1939-09-04,False,Adventure,English,United States of America,Approved,Margaret Hamilton,Victor Fleming,695.0,2509,149,14000,8.1,213.0,102.0,18209310.259985235,2296399.5735257934
9,Fantasia,1940-05-18,True,Animation,English,United States of America,G,Leopold Stokowski,James Algar,16.0,16,11,3000,7.8,99.0,120.0,62658902.64906093,1869925.3670138603
10,Pinocchio,1940-12-10,True,Animation,English,United States of America,Approved,Mel Blanc,Norman Ferguson,1000.0,1178,3,0,7.5,105.0,88.0,69138030.01722299,2132371.0325596654
11,Duel in the Sun,1946-07-06,True,Drama,English,United States of America,Unrated,Joseph Cotten,King Vidor,469.0,2037,54,403,6.9,32.0,144.0,16730911.178545065,6561141.638645124
12,The Best Years of Our Lives,1946-04-26,False,Drama,English,United States of America,Unrated,Myrna Loy,William Wyler,749.0,1941,355,0,8.1,97.0,172.0,19396374.969244648,1722299.680144345
13,The Lady from Shanghai,1947-07-12,False,Crime,English,United States of America,Unrated,Rita Hayworth,Orson Welles,1000.0,1055,0,0,7.7,90.0,92.0,6501.271221192487,1886328.221110473
14,The Pirate,1948-07-04,True,Adventure,English,United States of America,Approved,Gladys Cooper,Vincente Minnelli,89.0,282,136,359,7.1,41.0,102.0,2424341.835479373,3034528.00787337
15,Annie Get Your Gun,1950-02-04,True,Biography,English,United States of America,Approved,Keenan Wynn,George Sidney,277.0,731,24,456,7.0,21.0,107.0,6561141.638645124,3090941.5238251453
16,The Greatest Show on Earth,1952-10-23,True,Drama,English,United States of America,Unrated,Gloria Grahame,Cecil B. DeMille,232.0,825,309,625,6.7,44.0,152.0,29525137.373903055,3280570.819322562
17,"The Beast from 20,000 Fathoms",1953-08-22,False,Adventure,English,United States of America,Approved,Kenneth Tobey,Eug̬ne Louri̩,57.0,205,7,465,6.7,67.0,80.0,4100713.5241532023,172229.9680144345
18,The Robe,1953-05-15,True,Drama,English,United States of America,Unrated,Richard Burton,Henry Koster,726.0,1920,28,0,6.8,42.0,135.0,29525137.373903055,4100713.5241532023
19,On the Waterfront,1954-10-29,False,Crime,English,United States of America,Unrated,Marlon Brando,Elia Kazan,10000.0,11094,603,0,8.2,134.0,108.0,7873369.966374149,746329.8613958828
20,Seven Samurai,1954-02-07,False,Action,Japanese,Japan,Unrated,Takashi Shimura,Akira Kurosawa,304.0,338,0,11000,8.7,153.0,202.0,2128.9840164583006,15825.288811520812
21,The Bridge on the River Kwai,1957-09-24,True,Adventure,English,United Kingdom,PG,William Holden,David Lean,682.0,1035,767,0,8.2,122.0,161.0,30291218.887465894,3340943.2596469736
22,Some Like It Hot,1959-02-23,False,Comedy,English,United States of America,Unrated,Nehemiah Persoff,Billy Wilder,105.0,527,0,10000,8.3,181.0,120.0,20503567.62076601,2365166.8990404326
23,Psycho,1960-04-11,False,Horror,English,United States of America,R,Janet Leigh,Alfred Hitchcock,606.0,1885,13000,18000,8.5,290.0,108.0,26244566.554580495,661811.6952349708
24,West Side Story,1961-03-05,True,Crime,English,United States of America,Unrated,Rita Moreno,Jerome Robbins,804.0,1802,34,0,7.6,120.0,152.0,35799229.065857455,4920856.228983843
